News_Headline,Link_Of_News,Source,Stated_On,Date,Label
"""Mar-A-Lago (was) destroyed by (Hurricane) Irma (and) Jared Kushner (is) still missing.""",https://www.politifact.com/factchecks/2017/sep/11/blog-posting/no-jared-kushner-not-missing-after-hurricane-irma-/,Bloggers," September 10,"," September 11, 2017",pants-fire
"Says Marco Rubio ""voted to deport"" young people known as Dreamers.",https://www.politifact.com/factchecks/2015/apr/14/people-american-way/did-marco-rubio-vote-deport-dreamers/,People for the American Way," April 13, 201"," April 14, 2015",barely-true
"The partial government shutdown in early 2019 affected ""18,000 federal employees in West Virginia.""",https://www.politifact.com/factchecks/2019/feb/20/joe-manchin/was-joe-manchin-right-about-scale-shutdowns-impact/,Joe Manchin," January 2, 20"," February 20, 2019",mostly-true
"""Archbishop Desmond Tutu dies while holidaying in Texas""",https://www.politifact.com/factchecks/2018/apr/23/blog-posting/website-falsely-claims-desmond-tutu-died-texas/,Bloggers," April 22, 201"," April 23, 2018",pants-fire
"""There are places in America that are among the most dangerous in the world. You go to places like Oakland. Or Ferguson. The crime numbers are worse. Seriously.""",https://www.politifact.com/factchecks/2016/may/25/donald-trump/donald-trumps-false-claim-oakland-ferguson-are-amo/,Donald Trump," May 18, 2016 "," May 25, 2016",FALSE
"""The cost of living is going up, but paychecks aren't keeping up.""",https://www.politifact.com/factchecks/2019/jan/30/kamala-harris/are-paychecks-failing-keep-inflation/,Kamala Harris," January 27, 2"," January 30, 2019",barely-true
Says it was “unquestionably” not within his “legal authority” to postpone Illinois’ primary election by changing the date or shifting to vote-by-mail.,https://www.politifact.com/factchecks/2020/mar/24/jb-pritzker/did-pritzker-lack-authority-postpone-illinois-prim/,JB Pritzker," March 17, 202"," March 24, 2020",mostly-true
"""Eight out of the nine states with competitive Senate races, Hispanics make up less than 10 percent of the electorate.""",https://www.politifact.com/factchecks/2014/sep/07/chuck-todd/chuck-todd-said-8-9-states-toss-senate-races-are-l/,Chuck Todd," September 7, "," September 7, 2014",TRUE
"Legal prescription drugs ""statistically kill 100,000 people a year, (but) there are no documented deaths due to marijuana.""",https://www.politifact.com/factchecks/2016/aug/16/gary-johnson/gary-johnson-claims-marijuana-cant-kill-and-prescr/,Gary Johnson," August 3, 201"," August 16, 2016",half-true
Central Park hospital tents housed thousands of abused children released from underground captivity.,https://www.politifact.com/factchecks/2020/may/08/facebook-posts/central-park-field-hospital-treated-coronavirus-pa/,Facebook posts," May 3, 2020 i"," May 8, 2020",pants-fire
"Speaking of an HIV outbreak in Indiana during his time as governor, says “we immediately deployed health resources.”",https://www.politifact.com/factchecks/2020/mar/05/mike-pence/fact-checking-pences-defense-response-indiana-hiv-/,Mike Pence," February 29, "," March 5, 2020",half-true
"""When asked about equal pay for women, (Rubio’s) quote was that it was a waste of time.""",https://www.politifact.com/factchecks/2016/oct/18/patrick-murphy/rubio-called-equal-pay-women-waste-time-murphy-say/,Patrick Murphy," October 17, 2"," October 18, 2016",half-true
"""The president had to confess in writing, in court to illegally diverting charitable contributions that were supposed to go to veterans.""",https://www.politifact.com/factchecks/2019/nov/21/pete-buttigieg/pete-buttigieg-falsely-says-donald-trump-illegally/,Pete Buttigieg," November 20, "," November 21, 2019",FALSE
BLM Fresno riots will begin at 4 p.m. in River Park on 06/02/20,https://www.politifact.com/factchecks/2020/jun/02/facebook-posts/black-lives-matter-activists-are-not-planning-riot/,Facebook posts," June 1, 2020 "," June 2, 2020",FALSE
"Says Nancy Pelosi said, ""It is dangerous to let the voters decide Trump’s fate.""",https://www.politifact.com/factchecks/2019/nov/21/facebook-posts/no-pelosi-didnt-say-its-dangerous-let-voters-decid/,Facebook posts," November 19, "," November 20, 2019",FALSE
"""Remember, Obamacare created a new category of eligibility. Working-age, able-bodied adults with no dependents for the first time became eligible for Medicaid if their income is below 138 percent of the poverty level. We’re going to continue that eligibility. No one loses coverage.""",https://www.politifact.com/factchecks/2017/jun/27/pat-toomey/toomey-conflates-two-things-latest-health-care-cla/,Pat Toomey," June 25, 2017"," June 27, 2017",half-true
"Says Arizona congressional candidate Ray Strauss is ""a ‘Champion of Big Government’ for his votes to raise taxes while on the local city council.""",https://www.politifact.com/factchecks/2016/aug/18/sarah-palin/sarah-palin-claims-arizona-congressional-candidate/,Sarah Palin," August 11, 20"," August 18, 2016",half-true
"Because of the failure to pass a repeal bill, ""Obamacare remains the law of the land ... This means more than 300,000 Georgians below the poverty line will still not have access to the insurance Obamacare promised.""",https://www.politifact.com/factchecks/2017/aug/03/david-perdue/gop-senator-david-perdue-blames-obamacare-leaving-/,David Perdue," July 28, 2017"," August 3, 2017",half-true
"The wives of the 9/11 hijackers ""knew exactly what was happening"" and went back to Saudi Arabia two days before the attacks to watch their husbands on television flying the planes.",https://www.politifact.com/factchecks/2016/mar/04/donald-trump/donald-trump-repeats-false-claim-about-911-hijacke/,Donald Trump," March 3, 2016"," March 3, 2016",FALSE
"San Antonio is ""now the largest city in the United States ever to have an African American woman mayor.""",https://www.politifact.com/factchecks/2014/aug/06/henry-cisneros/ivy-taylor-first-african-american-female-serving-m/,Henry Cisneros," July 22, 2014"," August 6, 2014",TRUE
Says a poll showed Democrat Beto O’Rourke within 2 percentage points of Republican Sen. Ted Cruz.,https://www.politifact.com/factchecks/2018/jul/20/republican-party-texas/texas-poll-ted-cruz-leads-beto-orourke-2-points-pe/,Republican Party of Texas," July 14, 2018"," July 20, 2018",mostly-true
"""The U.S. spends more money on its military than the 16 biggest military budgets in the world"" combined.",https://www.politifact.com/factchecks/2014/apr/16/anissa-naouai/rt-anchor-says-us-spends-big-military/,Anissa Naouai," April 16, 201"," April 16, 2014",half-true
"""Although we have twice the population of Greece, the state of Florida employs three times fewer government employees.""",https://www.politifact.com/factchecks/2015/jul/22/jeff-atwater/greece-employs-three-times-many-government-workers/,Jeff Atwater," July 13, 2015"," July 22, 2015",half-true
"""Two-thirds of the people who receive the minimum wage are female.""",https://www.politifact.com/factchecks/2014/apr/02/cokie-roberts/cokie-roberts-two-thirds-minimum-wage-earners-are-/,Cokie Roberts," March 31, 201"," April 2, 2014",mostly-true
"""The standard of voting in North Dakota is the easiest in the country.""",https://www.politifact.com/factchecks/2018/oct/23/kevin-cramer/no-registration-voting-easiest-north-dakota/,Kevin Cramer," October 18, 2"," October 23, 2018",barely-true
"""October 2013, Obama shut down the government for 16 days to force Obamacare.""",https://www.politifact.com/factchecks/2019/jan/02/blog-posting/obama-2013-and-trump-2018-are-shutdowns-same/,Bloggers," December 22, "," January 2, 2019",half-true
"Rhode Island's graduated driving license ""has saved hundreds of lives.""",https://www.politifact.com/factchecks/2013/jul/07/joseph-mcnamara/rep-joseph-mcnamara-says-graduated-license-require/,Joseph McNamara," June 28, 2013"," July 7, 2013",FALSE
"""There are billboards in Central America in the Northern Triangle countries advertising how to grab a kid to get into the United States illegally.""",https://www.politifact.com/factchecks/2018/jul/23/kirstjen-nielsen/dhs-kirstjen-nielsen-falsely-says-there-are-billbo/,Kirstjen Nielsen," July 19, 2018"," July 23, 2018",FALSE
Says Congress set aside $50 billion for the Secure Fence Act in 2006,https://www.politifact.com/factchecks/2019/jan/22/facebook-posts/no-congress-did-not-approve-50-billion-border-fenc/,Facebook posts," January 11, 2"," January 22, 2019",FALSE
"Quotes Trump as saying, ""Fine you boo me DC? Go #Astros, Texas loves me, I get the best kind of love there. I’ll be renaming the White House the Orange House.""",https://www.politifact.com/factchecks/2019/oct/28/facebook-posts/trump-did-not-threaten-rename-white-house-astros-a/,Facebook posts," October 27, 2"," October 28, 2019",pants-fire
"I am the only U.S. Senate candidate who spoke out against bombing Syria, and who challenged Georgia’s governor and insurance commissioner over obstruction to the Affordable Care Act.",https://www.politifact.com/factchecks/2013/nov/05/branko-radulovacki/senate-candidates-use-only-hits-snag/,Branko Radulovacki," October 14, 2"," November 5, 2013",FALSE
"""15 years ago, cancer drugs cost an average of $10,000 a year. Now it’s $10,000 a month.""",https://www.politifact.com/factchecks/2015/dec/02/bill-maher/bill-maher-cancer-drugs-cost-10000-month/,Bill Maher," October 2, 20"," December 2, 2015",mostly-true
"Says Secretary of State Rex Tillerson got a ""government service golden parachute"" payment of $180 million ""from Exxon Mobil that he would have to forfeit had he taken a job elsewhere.""",https://www.politifact.com/factchecks/2017/feb/10/tammy-baldwin/secretary-state-rex-tillersons-180-million-exxon-g/,Tammy Baldwin," January 31, 2"," February 10, 2017",barely-true
"""Since President Obama took office in January 2009, the federal government has issued more than 468,500 pages of regulations.""",https://www.politifact.com/factchecks/2015/mar/30/dave-brat/dave-brat-says-obama-has-issued-468500-pages-regul/,Dave Brat," March 17, 201"," March 30, 2015",barely-true
"""Kushner And Wife Ivanka Trump Were Tossed Out Of The White House — And Donald Is Cutting Them Out Of His Will!""",https://www.politifact.com/factchecks/2018/mar/05/blog-posting/no-trump-didnt-fire-jared-kushner-and-ivanka/,Bloggers," February 28, "," March 5, 2018",pants-fire
The Obama administration left Trump with a “stockpile with a cupboard that was bare.”,https://www.politifact.com/factchecks/2020/apr/08/donald-trump/trump-said-obama-admin-left-him-bare-stockpile-wro/,Donald Trump," April 6, 2020"," April 8, 2020",barely-true
Says it’s illegal to hold an absentee-only election or mail ballots to every registered voter,https://www.politifact.com/factchecks/2020/may/08/chris-kapanga/yes-its-illegal-hold-election-mail-wisconsin/,Chris Kapenga," April 6, 2020"," May 8, 2020",TRUE
